feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bioc_5alpha.androstan.3alpha.17beta.diol.monosulfate..2.	gender	gender	2.13784960849825	0.341030594592712	180	103	2.86592993038483e-08	0.00067226118377037
Bioc_5alpha.androstan.3alpha.17beta.diol.disulfate	gender	gender	2.13220808187266	0.384245212837047	180	99	5.47835270684697e-07	0.00542993011398543
Bioc_5alpha.androstan.3beta.17beta.diol.disulfate	gender	gender	2.66751805054655	0.491947950657728	180	100	9.25937692626582e-07	0.00542993011398543
Bioc_urate	gender	gender	2.81045334029521	0.511374372044514	180	95	7.76499381455173e-07	0.00542993011398543
Bioc_2S.3R.dihydroxybutyrate	gender	gender	2.45419335602376	0.457566775195339	180	89	1.90708381636363e-06	0.00894689301608836
Bioc_cysteinylglycine.disulfide.	IBS	IBS	-1.9607716778327	0.400548073269946	180	100	7.15306159288149e-06	0.0279648942973702
Bioc_5alpha.androstan.3alpha.17alpha.diol.monosulfate	gender	gender	2.05428417601623	0.435509430360053	180	98	1.28483780824827e-05	0.0430549149543996
Bioc_X_11444	gender	gender	2.79266350377281	0.587603100228626	180	88	1.52862579572706e-05	0.044821219112962
Bioc_isoleucine	gender	gender	2.63942300570179	0.573605501957079	180	97	2.27515329060665e-05	0.0533682707377602
Bioc_S.adenosylhomocysteine..SAH.	IBS	IBS	-2.55730231648538	0.547402808333708	180	94	2.08418184719749e-05	0.0533682707377602
Bioc_2.methoxyresorcinol.sulfate	race	race	1.43475697559187	0.314121266293144	180	99	2.62453985871819e-05	0.0559671195145023
Bioc_gamma.glutamylleucine	gender	gender	2.33634091235823	0.533875283945193	180	92	5.32286706162414e-05	0.104048743887098
Bioc_2.keto.3.deoxy.gluconate	gender	gender	2.82637492941008	0.662199388801871	180	88	8.77669435072414e-05	0.104072971306807
Bioc_gamma.glutamylisoleucine.	gender	gender	2.21926158989027	0.53105946119783	180	106	8.79532542435773e-05	0.104072971306807
Bioc_kynurenine	IBS	IBS	-1.8918484656384	0.435090144874775	180	90	5.85614129226497e-05	0.104072971306807
Bioc_N6.succinyladenosine	IBS	IBS	-2.38848575936918	0.55522669103121	180	83	9.28119675647922e-05	0.104072971306807
Bioc_quinolinate	IBS	IBS	-1.64845377478823	0.389550255480644	180	96	7.79385496108947e-05	0.104072971306807
Bioc_sucralose	race	race	1.93019426861533	0.462304548724822	180	105	9.31718633006329e-05	0.104072971306807
Bioc_X_11261	IBS	IBS	-1.80677303693914	0.423843965882229	180	102	6.99948705180391e-05	0.104072971306807
Bioc_X_15461	age	age	-1.6634016815533	0.390531971673279	180	105	6.74752079837408e-05	0.104072971306807
Bioc_X_15503	age	age	-1.97916559921627	0.474312034480676	180	105	9.25406357150707e-05	0.104072971306807
Bioc_pregnenediol.sulfate..C21H34O5S..	age	age	1.65282658727018	0.400345177118961	180	97	0.000106200425113423	0.113233789631162
Bioc_pregnenetriol.sulfate.	gender	gender	1.90887632717971	0.469109616280483	180	94	0.000135765574249775	0.138463177181607
Bioc_X_13553	age	age	-1.8929811755135	0.465585091647742	180	92	0.000151056467345972	0.14763881477227
Bioc_quinolinate	age	age	-1.66342116213448	0.416060915456222	180	96	0.000172514807677853	0.161867193747975
Bioc_5.methylthioadenosine..MTA.	IBS	IBS	-1.82001012245889	0.454340174312873	180	98	0.000184065718193341	0.163744134370992
Bioc_N6.N6.N6.trimethyllysine	gender	gender	2.0211585996862	0.508377183199137	180	99	0.000188476430405286	0.163744134370992
Bioc_2.O.methylascorbic.acid	IBS	IBS	-1.54915090508771	0.388639211042745	180	98	0.000203092668781243	0.164273956262124
Bioc_tyrosine	IBS	IBS	-1.91618532354349	0.481397248626575	180	94	0.000196859569554092	0.164273956262124
Bioc_X_21796	gender	gender	1.87892145117652	0.479246368084245	180	107	0.000223396089401659	0.174673402303157
Bioc_5alpha.androstan.3beta.17beta.diol.monosulfate..2.	gender	gender	1.68261072899025	0.431359259466731	180	97	0.000244948800779973	0.176696453010682
Bioc_cys.gly..oxidized	IBS	IBS	-1.89298697718208	0.48593156058613	180	89	0.000256114567180935	0.176696453010682
Bioc_eugenol.sulfate	IBS	IBS	-1.24990787534158	0.319674012646848	180	103	0.000234453509813418	0.176696453010682
Bioc_N.acetylcarnosine	gender	gender	2.14545769656566	0.550873682834245	180	94	0.000253319787165073	0.176696453010682
Bioc_guanidinosuccinate	age	age	-1.57933803260803	0.410836699065975	180	107	0.000274587301042051	0.179711939988753
Bioc_hydroxyasparagine	age	age	-1.92058380546668	0.495347951732414	180	97	0.000275808067510557	0.179711939988753
Bioc_N.formylmethionine	IBS	IBS	-2.06296973772967	0.537238823199451	180	91	0.00032524256861257	0.206194998160677
Bioc_.S..3.hydroxybutyrylcarnitine	race	race	3.28860074961767	0.868715628061545	180	104	0.000348370158545071	0.209531251512609
Bioc_1.methyl.4.imidazoleacetate	age	age	-1.76665218913313	0.465843971744892	180	102	0.000340747582636693	0.209531251512609
Bioc_5.6.dihydrouridine	IBS	IBS	-1.90657118344278	0.503917740789812	180	97	0.000378346847460691	0.22080835708995
Bioc_arabitol.xylitol	age	age	-1.94523700187683	0.51177199904951	180	89	0.000385946312004431	0.22080835708995
Specie_Coprococcus_comes	IBS	IBS	-1.43830764009289	0.386636731072648	180	100	0.000446002877242724	0.239100890757136
Bioc_gamma.glutamyltyrosine	IBS	IBS	-1.72748294179806	0.46545701676642	180	100	0.000429621290827222	0.239100890757136
Bioc_pregnenetriol.disulfate.	age	age	1.695386307663	0.460030500174035	180	99	0.000458692078444435	0.239100890757136
Bioc_X_17685	race	race	1.80248169181476	0.484335817493777	180	97	0.00045491768547238	0.239100890757136
Bioc_allantoin	gender	gender	2.17223410315843	0.593949156436307	180	101	0.000502609822274574	0.25629823045858
Microbiome_gene_K01579	IBS	IBS	-1.61720690509205	0.439186269168129	180	95	0.00053553313939093	0.260159077587336
Bioc_2.piperidinone	IBS	IBS	-1.23778267862495	0.340813222210494	180	116	0.000523696452204815	0.260159077587336
Bioc_X_16580	age	age	-1.80176455159036	0.488745499313135	180	88	0.00054345375801592	0.260159077587336
Microbiome_gene_K19997	IBS	IBS	-1.49831321039154	0.40990752864211	180	96	0.00057524995554874	0.267968410174272
Bioc_2.hydroxy.3.methylvalerate	gender	gender	1.66592139801454	0.457814272940755	180	101	0.000584122085927487	0.267968410174272
Bioc_N.N.N.trimethyl.alanylproline.betaine..TMAP.	gender	gender	1.93358272399607	0.525772348194332	180	83	0.000594038339474874	0.267968410174272
Bioc_N1.methylinosine	IBS	IBS	-1.55933774668963	0.429163410979378	180	94	0.000615841210486512	0.26879587936413
Bioc_X_24309	IBS	IBS	-1.67787781705656	0.46504714425915	180	97	0.000623554675010175	0.26879587936413
Bioc_X_24546	age	age	1.66193544820242	0.46259709564292	180	98	0.000630249962272548	0.26879587936413
Microbiome_gene_K17103	IBS	IBS	-2.06830460775494	0.567919729425175	180	89	0.000662272189603691	0.272937521483313
Bioc_3.hydroxybutyrate..BHBA.	race	race	2.63539570197441	0.736994149379068	180	105	0.000683507058013136	0.272937521483313
Bioc_alpha.ketobutyrate	gender	gender	1.90331515361456	0.532332811972297	180	93	0.000698139203180236	0.272937521483313
Bioc_pregnenolone.sulfate	age	age	1.6360936603676	0.458072205987737	180	93	0.00069259798343421	0.272937521483313
Bioc_X_21470	age	age	1.56031547293261	0.437426840880167	180	96	0.000696310436259214	0.272937521483313
Bioc_mannonate.	age	age	-1.72786087354129	0.485177588464979	180	98	0.000729834665667947	0.280651340206115
Bioc_3.methylglutaconate	age	age	-1.47820127867892	0.415721931399436	180	93	0.000793158892097613	0.296167145200807
Bioc_X_23680	IBS	IBS	-1.80067943350527	0.510430115350637	180	102	0.0007954354839771	0.296167145200807
Bioc_X_12100	IBS	IBS	-1.39456408622394	0.395620795545599	180	97	0.00080987109351521	0.296830410009161
Microbiome_gene_K17213	ethnic	ethnic	-0.88226304072642	0.252214556717771	180	100	0.000906776548686411	0.300354671170505
Bioc_21.hydroxypregnenolone.disulfate	age	age	1.80530034119287	0.517712308222702	180	93	0.00095756108745417	0.300354671170505
Bioc_7.methylguanine	IBS	IBS	-2.00205453046624	0.565432334109916	180	88	0.000840649394458523	0.300354671170505
Bioc_acesulfame	IBS	IBS	-0.911955834871039	0.261696247035243	180	114	0.000873305640331781	0.300354671170505
Bioc_andro.steroid.monosulfate.C19H28O6S..1..	age	age	1.383962070468	0.395645084225601	180	89	0.000946706920943915	0.300354671170505
Bioc_arachidonoylcarnitine..C20.4.	gender	gender	2.18352277696167	0.627092642275039	180	92	0.00094369254311908	0.300354671170505
Bioc_phosphocholine	IBS	IBS	-1.78982868404396	0.510924138804511	180	91	0.000911523979824285	0.300354671170505
Bioc_dihomo.linolenoylcarnitine..C20.3n3.or.6..	gender	gender	2.00269073974908	0.570646692923816	180	96	0.000858129474460008	0.300354671170505
Bioc_N.acetylglutamate	age	age	-1.69280424074043	0.485613321487512	180	110	0.000884071628004479	0.300354671170505
Bioc_X_24747	race	race	3.39163551700841	0.979644616549052	180	101	0.000960335948236685	0.300354671170505
Bioc_X_25519	age	age	-1.551013917624	0.444603652673096	180	107	0.00089160939883632	0.300354671170505
Bioc_C.glycosyltryptophan	IBS	IBS	-1.62125542421341	0.467071046972336	180	96	0.000985392702384512	0.304136271313599
Bioc_aconitate..cis.or.trans.	age	age	-1.62986945663835	0.470424535524514	180	98	0.00101509220727504	0.305269460333982
Bioc_X_25617	gender	gender	1.89017140868924	0.542425497826222	180	89	0.00100919127097348	0.305269460333982
Bioc_5.acetylamino.6.formylamino.3.methyluracil	age	age	-1.08295172464862	0.313534287092858	180	99	0.00107057641809606	0.317879886573155
Bioc_3.methoxycatechol.sulfate..1.	race	race	2.11110464515367	0.615760896751803	180	101	0.00110284323106167	0.321628853906861
Bioc_pregnen.diol.disulfate.	gender	gender	1.50244206308706	0.441123047096515	180	95	0.00111062527887009	0.321628853906861
Microbiome_gene_K00878	gender	gender	1.9523944568954	0.5720668622182	180	95	0.00112820065413192	0.322734179804543
Bioc_2.aminobutyrate	gender	gender	1.69728415504514	0.500170237442381	180	101	0.00119806402255343	0.334564679414248
Bioc_succinylcarnitine..C4.DC.	IBS	IBS	-1.97269372087752	0.574187826260054	180	89	0.00119808300595971	0.334564679414248
Bioc_X_21467	IBS	IBS	-1.87360509562906	0.548690946278041	180	83	0.00124567319336141	0.343761836431514
Bioc_erythronate.	IBS	IBS	-1.53683466983861	0.451300480112891	180	91	0.00126693030749785	0.345562607243919
Bioc_X_11470	gender	gender	1.77174013735232	0.522050767322958	180	87	0.00131149827721724	0.350122235605169
Bioc_X_17348	IBS	IBS	-0.527967848477535	0.1570846602604	180	104	0.00131349945573837	0.350122235605169
Bioc_X_17357	gender	gender	1.98480800837695	0.595138717782349	180	105	0.00138418857612459	0.364819229552298
Microbiome_gene_K01258	IBS	IBS	-1.65167959374572	0.491070209446194	180	102	0.00140747459942206	0.366834796429369
Bioc_.S..3.hydroxybutyrylcarnitine	age	age	-1.33140018339938	0.401714647790316	180	104	0.00153768345800299	0.394449334848048
Bioc_1.carboxyethylphenylalanine	age	age	-1.38183983863455	0.415860231382135	180	99	0.00154705797015903	0.394449334848048
Microbiome_gene_K00239	race	race	2.96470971583309	0.899596549226547	180	100	0.00163941138048905	0.409102901618422
Microbiome_gene_K00793	race	race	3.3411391862163	1.00935332622888	180	97	0.00163514256778259	0.409102901618422
Specie_Eubacterium_rectale	IBS	IBS	-1.1998156701778	0.365782810222457	180	99	0.00168125393903055	0.415128143661468
Microbiome_gene_K19509	IBS	IBS	-0.924371775178412	0.287633672807563	180	145	0.00180141277045737	0.435853421908003
Bioc_X_15461	race	race	2.99684801517137	0.920704865825887	180	105	0.00180235247154693	0.435853421908003
Bioc_acesulfame	race	race	2.0514379598156	0.633661042584749	180	114	0.00187681757583863	0.440245098764468
Bioc_N.acetylmethionine	IBS	IBS	-1.60140131662763	0.491632427191554	180	92	0.00185299096646696	0.440245098764468
Bioc_X_10458	IBS	IBS	-1.62031844161207	0.496486747823124	180	95	0.00186227496852428	0.440245098764468
Bioc_3.indoxyl.sulfate	IBS	IBS	-1.46975952883936	0.447780372002873	180	90	0.00190254349946682	0.44186101848508
Bioc_1.palmitoleoyl.2.linolenoyl.GPC..16.1.18.3..	IBS	IBS	-1.53583401516764	0.472824563381385	180	101	0.00196519648313162	0.448299365944593
Bioc_gamma.glutamylmethionine	IBS	IBS	-1.7931273213913	0.550777590024722	180	89	0.001974628896365	0.448299365944593
Bioc_pregnen.diol.disulfate.	age	age	1.35836503898094	0.422308504473786	180	95	0.0019876000365877	0.448299365944593
Bioc_3.formylindole	gender	gender	1.98228402399098	0.606327707584621	180	84	0.00204499075143624	0.453777098245305
Bioc_alpha.ketoglutarate	age	age	-1.72274235765837	0.528408870607692	180	87	0.00205057647670215	0.453777098245305
