feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Microbiome_gene_K23535	antivirals	antivirals	-1.05918452117103	0.222703383450253	180	108	6.4448040541701e-06	0.0739337289942791
Bioc_X_12851	antivirals	antivirals	-1.07535871341537	0.228952661802291	180	111	7.95799246480589e-06	0.0739337289942791
Microbiome_gene_K15584	antivirals	antivirals	-1.51541139418639	0.360272543200332	180	96	6.0210753869591e-05	0.372925339216957
Microbiome_gene_K00183	antivirals	antivirals	-1.13161369669636	0.282345241047417	180	108	0.000116037216139473	0.431217502617508
Microbiome_gene_K00627	antivirals	antivirals	-1.28543768139308	0.315393677938789	180	100	9.52150547947853e-05	0.431217502617508
Microbiome_gene_K01118	antivirals	antivirals	-1.50199309687693	0.385418402890159	180	107	0.000173464962098075	0.436854851505049
Microbiome_gene_K09696	antivirals	antivirals	-1.00965108650247	0.262936027102006	180	119	0.000202657503660906	0.436854851505049
Microbiome_gene_K09935	antivirals	antivirals	-1.19586923036131	0.314676786872367	180	151	0.000211597527772749	0.436854851505049
Bioc_X_11858	antivirals	antivirals	-1.02711183273027	0.26237166395058	180	108	0.000162772944887132	0.436854851505049
Specie_Flavonifractor_plautii	antivirals	antivirals	-1.2328884703182	0.326972239949026	180	112	0.000267173628112722	0.496435318396249
Microbiome_gene_K09136	antivirals	antivirals	-1.03927515756652	0.279786082789996	180	131	0.000304601922133121	0.507299621049526
Bioc_alpha.hydroxymetoprolol	antivirals	antivirals	-0.70545977164667	0.193358210864287	180	112	0.000409530935673154	0.507299621049526
Bioc_cortisone	antivirals	antivirals	-1.60824652139434	0.429297640547774	180	85	0.000337281833482913	0.507299621049526
Bioc_glucuronate	antivirals	antivirals	-1.22287882334402	0.33251222077383	180	97	0.000395901972512086	0.507299621049526
Bioc_X_07765	antifungals	antifungals	-1.28082671488917	0.345712068521609	180	94	0.000366688637702803	0.507299621049526
Microbiome_gene_K03753	antivirals	antivirals	-1.04827870905184	0.294793706190192	180	132	0.000529911908931359	0.565937715877276
Microbiome_gene_K18221	antivirals	antivirals	-0.878301410284802	0.246816718677366	180	117	0.000548241692362681	0.565937715877276
Microbiome_gene_K23349	antivirals	antivirals	-1.03222267225602	0.289150209432788	180	117	0.000527395916553855	0.565937715877276
Specie_Clostridium_sp_CAG_299	antibiotics	antibiotics	-0.583761686284352	0.166725316129122	180	108	0.000685778142636354	0.66918101002691
Microbiome_gene_K23005	antivirals	antivirals	-1.5095546678267	0.430670018221443	180	93	0.000720285248400958	0.66918101002691
Specie_Clostridium_asparagiforme	antivirals	antivirals	-0.681458839359472	0.196828869546743	180	115	0.000764137045638898	0.676115735476969
Microbiome_gene_K14155	antivirals	antivirals	-1.41068075771526	0.40743711870358	180	91	0.00083660859136704	0.706592010735954
Bioc_carotene.diol..2.	antivirals	antivirals	-1.3807365313754	0.404003318192028	180	91	0.000967131792247242	0.781316340510696
Microbiome_gene_K00254	antivirals	antivirals	-1.26946850588389	0.376669870575878	180	95	0.00110336542203239	0.788715506402368
Microbiome_gene_K10536	antivirals	antivirals	-0.920579673217028	0.274919783267393	180	148	0.00103864082103099	0.788715506402368
Microbiome_gene_K13920	antivirals	antivirals	-1.17851594975841	0.351316333500758	180	111	0.00110363291353865	0.788715506402368
Specie_Eggerthella_lenta	antivirals	antivirals	-0.92975355248759	0.279642706726253	180	114	0.00120599618569434	0.829948708384687
