feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Diversity_chao1	reads_clean	reads_clean	-0.378559011776278	0.152636052865255	180	63	0.015908976957966	0.629574574274088
Diversity_evenness_evar	reads_clean	reads_clean	-0.34272153463019	0.15454530260625	180	63	0.0303164100355744	0.629574574274088
Diversity_rarity_low_abundance	reads_clean	reads_clean	-0.464007626352705	0.171203591920381	180	63	0.00871761602410425	0.629574574274088
Diversity_dominance_gini	reads_clean	reads_clean	-0.294527186336707	0.141912744028603	180	63	0.0421723530717854	0.629574574274088
Diversity_bray_divergence	reads_clean	reads_clean	-0.235709715907787	0.156135565410902	180	63	0.13629608208431	0.629574574274088
Specie_Prevotella_copri	reads_clean	reads_clean	0.227508390099869	0.135404017083401	180	116	0.0956530505718142	0.629574574274088
Specie_Faecalibacterium_prausnitzii	reads_clean	reads_clean	0.605442530049121	0.393651964981915	180	86	0.127803560754978	0.629574574274088
Specie_Alistipes_putredinis	reads_clean	reads_clean	0.834665445880858	0.476385499910371	180	86	0.0834094670967217	0.629574574274088
Specie_Parabacteroides_merdae	reads_clean	reads_clean	0.683764980971788	0.368359817607998	180	100	0.0664235544860758	0.629574574274088
Specie_Bacteroides_eggerthii	reads_clean	reads_clean	0.223968795279577	0.166167210234773	180	110	0.180526476853451	0.629574574274088
Specie_Barnesiella_intestinihominis	reads_clean	reads_clean	0.564402994987763	0.337136793727747	180	102	0.0972346840497858	0.629574574274088
Specie_Oscillibacter_sp_57_20	reads_clean	reads_clean	0.395814429404149	0.293280929391689	180	99	0.180283010494672	0.629574574274088
Specie_Bacteroides_intestinalis	reads_clean	reads_clean	0.287201148477385	0.163337649026535	180	104	0.0816911778661648	0.629574574274088
Specie_Roseburia_faecis	reads_clean	reads_clean	0.443572047982444	0.361697062458008	180	105	0.222858172554542	0.629574574274088
Specie_Lachnospira_pectinoschiza	reads_clean	reads_clean	0.459090788440704	0.272887712548046	180	101	0.0956539175278045	0.629574574274088
Specie_Ruminococcus_bicirculans	reads_clean	reads_clean	0.437662809805839	0.18723891548029	180	99	0.0214707951567087	0.629574574274088
Specie_Roseburia_hominis	reads_clean	reads_clean	0.536094989590677	0.29912193782882	180	106	0.0760039795639625	0.629574574274088
Specie_Bacteroides_massiliensis	reads_clean	reads_clean	0.356213115970294	0.228320377727379	180	109	0.121678308676188	0.629574574274088
Specie_Bacteroides_finegoldii	reads_clean	reads_clean	0.306348940107608	0.187253223679921	180	110	0.104747687083107	0.629574574274088
Specie_Coprococcus_eutactus	reads_clean	reads_clean	0.372345563854566	0.218878156442163	180	108	0.0918457371070318	0.629574574274088
Specie_Eubacterium_sp_CAG_38	reads_clean	reads_clean	0.441417868452208	0.314279387938629	180	98	0.163385489194596	0.629574574274088
Specie_Dorea_longicatena	reads_clean	reads_clean	0.547139932201051	0.293607333826639	180	106	0.0652118715415438	0.629574574274088
Specie_Phascolarctobacterium_faecium	reads_clean	reads_clean	-0.536157303579797	0.391564836711641	180	94	0.174248868359672	0.629574574274088
Specie_Bifidobacterium_adolescentis	reads_clean	reads_clean	0.426170133349735	0.217287246571643	180	112	0.0523687482350952	0.629574574274088
Specie_Collinsella_aerofaciens	reads_clean	reads_clean	0.656301168164243	0.313337020043431	180	95	0.0389299385598502	0.629574574274088
Specie_Coprococcus_comes	reads_clean	reads_clean	0.50400455088628	0.368306957041831	180	100	0.174304642623529	0.629574574274088
Specie_Paraprevotella_xylaniphila	reads_clean	reads_clean	0.261092907895969	0.17811697005788	180	120	0.145348640722946	0.629574574274088
Specie_Firmicutes_bacterium_CAG_110	reads_clean	reads_clean	0.252448325605979	0.198195924019804	180	105	0.20562550323316	0.629574574274088
Specie_Eubacterium_hallii	reads_clean	reads_clean	0.904462046814868	0.302500152171077	180	103	0.00350476730705794	0.629574574274088
Specie_Butyricimonas_virosa	reads_clean	reads_clean	0.241649583342349	0.184291299743668	180	109	0.192584589768408	0.629574574274088
Specie_Dorea_formicigenerans	reads_clean	reads_clean	0.555578647695924	0.333675108490952	180	107	0.0988882381553894	0.629574574274088
Specie_Gemmiger_formicilis	reads_clean	reads_clean	0.65025701251362	0.299518714564624	180	108	0.0321615409881073	0.629574574274088
Specie_Clostridium_clostridioforme	reads_clean	reads_clean	-0.256831812753906	0.205030870973775	180	122	0.212768936237924	0.629574574274088
Specie_Firmicutes_bacterium_CAG_145	reads_clean	reads_clean	-0.349225197535897	0.191226570196882	180	115	0.0704545530920813	0.629574574274088
Specie_Butyricimonas_synergistica	reads_clean	reads_clean	0.272744870655379	0.189717639656704	180	116	0.153276708496132	0.629574574274088
Specie_Streptococcus_thermophilus	reads_clean	reads_clean	0.277830978268377	0.166781102116663	180	116	0.0984905128465032	0.629574574274088
Specie_Adlercreutzia_equolifaciens	reads_clean	reads_clean	0.606532249293335	0.269434135708578	180	113	0.0263463866083241	0.629574574274088
Specie_Eubacterium_ventriosum	reads_clean	reads_clean	0.450911719441907	0.262485282132677	180	109	0.088715661508938	0.629574574274088
Specie_Sellimonas_intestinalis	reads_clean	reads_clean	0.261837259473347	0.189413782566111	180	118	0.169518264830993	0.629574574274088
Specie_Streptococcus_parasanguinis	reads_clean	reads_clean	0.390785039271389	0.237261551320457	180	118	0.102251258830606	0.629574574274088
Specie_Sutterella_parvirubra	reads_clean	reads_clean	0.329149611877895	0.16306911609587	180	110	0.0460210080639252	0.629574574274088
Specie_Harryflintia_acetispora	reads_clean	reads_clean	-0.24899997550175	0.186833845063347	180	125	0.185082387802667	0.629574574274088
Microbiome_gene_K00003	reads_clean	reads_clean	0.817599645644664	0.425843419388117	180	89	0.0581404863293263	0.629574574274088
Microbiome_gene_K00005	reads_clean	reads_clean	0.742725855076476	0.435471817831986	180	102	0.0911933493358182	0.629574574274088
Microbiome_gene_K00008	reads_clean	reads_clean	0.891458662820176	0.371196983309966	180	96	0.0182915281459965	0.629574574274088
Microbiome_gene_K00014	reads_clean	reads_clean	1.05955473031497	0.469989676197651	180	89	0.0266810948101946	0.629574574274088
Microbiome_gene_K00016	reads_clean	reads_clean	0.670703576936246	0.337324075328868	180	94	0.0497497527544827	0.629574574274088
Microbiome_gene_K00027	reads_clean	reads_clean	0.660587264171521	0.380934616371534	180	98	0.086106390273794	0.629574574274088
Microbiome_gene_K00030	reads_clean	reads_clean	0.869839835945207	0.36993130950465	180	95	0.0208163537271042	0.629574574274088
Microbiome_gene_K00040	reads_clean	reads_clean	0.643841644360026	0.300809647878111	180	109	0.034597016717612	0.629574574274088
Microbiome_gene_K00042	reads_clean	reads_clean	0.368310068732392	0.280105158336961	180	104	0.191492371022082	0.629574574274088
Microbiome_gene_K00065	reads_clean	reads_clean	0.383960679856035	0.283616676653806	180	112	0.178574758905214	0.629574574274088
Microbiome_gene_K00068	reads_clean	reads_clean	0.446792069129934	0.248127272953967	180	115	0.0744244510083039	0.629574574274088
Microbiome_gene_K00074	reads_clean	reads_clean	0.471212527032029	0.359698264188352	180	90	0.193597898445012	0.629574574274088
Microbiome_gene_K00075	reads_clean	reads_clean	0.598627852733544	0.377999191564784	180	96	0.11662650087757	0.629574574274088
Microbiome_gene_K00096	reads_clean	reads_clean	0.487168087590268	0.377403999249474	180	87	0.200259173843283	0.629574574274088
Microbiome_gene_K00101	reads_clean	reads_clean	0.434124340895915	0.213044383906946	180	118	0.0438531019050378	0.629574574274088
Microbiome_gene_K00108	reads_clean	reads_clean	0.252222702510508	0.203324692586282	180	116	0.217340372125743	0.629574574274088
Microbiome_gene_K00111	reads_clean	reads_clean	0.646784185750517	0.459501950253222	180	100	0.162420497242774	0.629574574274088
Microbiome_gene_K00116	reads_clean	reads_clean	0.408113095372062	0.235691494683176	180	118	0.0860111157002497	0.629574574274088
Microbiome_gene_K00121	reads_clean	reads_clean	0.301230360448793	0.196480695242277	180	114	0.128063886938308	0.629574574274088
Microbiome_gene_K00130	reads_clean	reads_clean	0.373250849045479	0.241192255202363	180	107	0.124745735904007	0.629574574274088
Microbiome_gene_K00131	reads_clean	reads_clean	0.729396475915343	0.309625081542414	180	107	0.020342583442994	0.629574574274088
Microbiome_gene_K00138	reads_clean	reads_clean	0.378444197599114	0.231511732726437	180	119	0.104807045315719	0.629574574274088
Microbiome_gene_K00169	reads_clean	reads_clean	0.531772196414295	0.334708335169383	180	90	0.115700508535204	0.629574574274088
Microbiome_gene_K00171	reads_clean	reads_clean	0.556288598326068	0.338645519381294	180	110	0.103356225116768	0.629574574274088
Microbiome_gene_K00197	reads_clean	reads_clean	0.914948975211498	0.334759925465819	180	95	0.00750906497495333	0.629574574274088
Microbiome_gene_K00209	reads_clean	reads_clean	0.382102613711617	0.305856040161005	180	110	0.214260181538059	0.629574574274088
Microbiome_gene_K00244	reads_clean	reads_clean	0.54788713236679	0.360999075563502	180	101	0.132277802922712	0.629574574274088
Microbiome_gene_K00266	reads_clean	reads_clean	0.590883812913318	0.377138366948055	180	103	0.120299582820306	0.629574574274088
Microbiome_gene_K00278	reads_clean	reads_clean	0.333183003138895	0.275041657185799	180	166	0.22748818355945	0.629574574274088
Microbiome_gene_K00283	reads_clean	reads_clean	0.357073825717803	0.285916003192994	180	156	0.213605266531144	0.629574574274088
Microbiome_gene_K00290	reads_clean	reads_clean	0.331425751496869	0.270293525163705	180	169	0.221860953689021	0.629574574274088
Microbiome_gene_K00297	reads_clean	reads_clean	0.340260000986803	0.270216568770729	180	163	0.20977626260956	0.629574574274088
Microbiome_gene_K00302	reads_clean	reads_clean	0.367910522321902	0.292025514338404	180	159	0.209590324713571	0.629574574274088
Microbiome_gene_K00303	reads_clean	reads_clean	0.342755337358259	0.254829816968853	180	129	0.181010492012987	0.629574574274088
Microbiome_gene_K00330	reads_clean	reads_clean	0.405777250622035	0.285531170976079	180	170	0.157132143426131	0.629574574274088
Microbiome_gene_K00331	reads_clean	reads_clean	0.368360046981381	0.278289490750502	180	167	0.187447739756107	0.629574574274088
Microbiome_gene_K00335	reads_clean	reads_clean	0.417802060414068	0.297558489630091	180	164	0.162203097590187	0.629574574274088
Microbiome_gene_K00337	reads_clean	reads_clean	0.38703592607459	0.27308771101907	180	168	0.158281466742419	0.629574574274088
Microbiome_gene_K00339	reads_clean	reads_clean	0.354441208425372	0.282745811602211	180	160	0.211850661160888	0.629574574274088
Microbiome_gene_K00340	reads_clean	reads_clean	0.347221406179089	0.28621575231155	180	162	0.226862097624307	0.629574574274088
Microbiome_gene_K00346	reads_clean	reads_clean	0.343612205569648	0.270280507074439	180	166	0.20541600693549	0.629574574274088
Microbiome_gene_K00347	reads_clean	reads_clean	0.326707052685453	0.267345120438104	180	164	0.223466768741009	0.629574574274088
Microbiome_gene_K00348	reads_clean	reads_clean	0.339270804429271	0.277085317763528	180	164	0.222568688245391	0.629574574274088
Microbiome_gene_K00349	reads_clean	reads_clean	0.351368177754844	0.281268424955435	180	169	0.213330091777677	0.629574574274088
Microbiome_gene_K00350	reads_clean	reads_clean	0.339798855195542	0.277548789551823	180	168	0.222579361514961	0.629574574274088
Microbiome_gene_K00351	reads_clean	reads_clean	0.338622143932432	0.272649602739296	180	169	0.215989642424895	0.629574574274088
Microbiome_gene_K00362	reads_clean	reads_clean	0.305792429687573	0.238082278096536	180	129	0.201340661997529	0.629574574274088
Microbiome_gene_K00364	reads_clean	reads_clean	0.498053886179003	0.318512505781733	180	151	0.12001249186293	0.629574574274088
Microbiome_gene_K00381	reads_clean	reads_clean	0.385493348781838	0.250976322563558	180	122	0.127177038273883	0.629574574274088
Microbiome_gene_K00383	reads_clean	reads_clean	0.342417055916292	0.255207917085985	180	134	0.181991032238306	0.629574574274088
Microbiome_gene_K00384	reads_clean	reads_clean	0.344788877926658	0.264964728620918	180	169	0.194960743275462	0.629574574274088
Microbiome_gene_K00389	reads_clean	reads_clean	0.39376114208472	0.232928475992593	180	125	0.0934686965863445	0.629574574274088
Microbiome_gene_K00425	reads_clean	reads_clean	0.435712162997735	0.280787206671592	180	168	0.122625962004473	0.629574574274088
Microbiome_gene_K00426	reads_clean	reads_clean	0.386620699928624	0.271864596878656	180	168	0.156871256217565	0.629574574274088
Microbiome_gene_K00432	reads_clean	reads_clean	0.349040571936347	0.289277949098572	180	161	0.229381311351266	0.629574574274088
Microbiome_gene_K00525	reads_clean	reads_clean	0.40298496754663	0.277497011234565	180	168	0.148329672004542	0.629574574274088
Microbiome_gene_K00526	reads_clean	reads_clean	0.365609348872013	0.286558199037079	180	169	0.203775245366725	0.629574574274088
Microbiome_gene_K00533	reads_clean	reads_clean	0.421453316471588	0.294395998858594	180	147	0.154414145819999	0.629574574274088
Microbiome_gene_K00548	reads_clean	reads_clean	0.364678080881424	0.273301557127833	180	167	0.183929964522107	0.629574574274088
Microbiome_gene_K00549	reads_clean	reads_clean	0.482184311821371	0.303032866499474	180	152	0.113671054013859	0.629574574274088
Microbiome_gene_K00554	reads_clean	reads_clean	0.359190432991932	0.268685863442085	180	169	0.183092634234569	0.629574574274088
Microbiome_gene_K00557	reads_clean	reads_clean	0.372489153875994	0.260923671965978	180	117	0.156122934399482	0.629574574274088
Microbiome_gene_K00561	reads_clean	reads_clean	0.686883135181071	0.491593617174946	180	87	0.165972777571334	0.629574574274088
Microbiome_gene_K00563	reads_clean	reads_clean	0.456753736285057	0.36408450819297	180	90	0.212972484006059	0.629574574274088
Microbiome_gene_K00564	reads_clean	reads_clean	0.418453610269531	0.225062307883817	180	117	0.0655436784447617	0.629574574274088
Microbiome_gene_K00571	reads_clean	reads_clean	0.577255129697547	0.400211102778262	180	90	0.152745963706952	0.629574574274088
Microbiome_gene_K00574	reads_clean	reads_clean	0.431831671154041	0.312304422294507	180	111	0.169574964518733	0.629574574274088
Microbiome_gene_K00598	reads_clean	reads_clean	0.398222022652976	0.226354483394851	180	115	0.0812357168660839	0.629574574274088
Microbiome_gene_K00609	reads_clean	reads_clean	0.586103111049104	0.402043408914834	180	113	0.147716293899947	0.629574574274088
Microbiome_gene_K00611	reads_clean	reads_clean	0.681705550226101	0.412442379951705	180	95	0.101733489356762	0.629574574274088
Microbiome_gene_K00613	reads_clean	reads_clean	0.411851499165622	0.27123668297278	180	109	0.131857516656555	0.629574574274088
Microbiome_gene_K00620	reads_clean	reads_clean	0.831704957002815	0.415194384431252	180	91	0.0482012529851196	0.629574574274088
Microbiome_gene_K00662	reads_clean	reads_clean	0.522135597774391	0.373018196898847	180	98	0.164808761074131	0.629574574274088
Microbiome_gene_K00677	reads_clean	reads_clean	0.403661718830045	0.292778188386964	180	163	0.169890983562016	0.629574574274088
Microbiome_gene_K00689	reads_clean	reads_clean	0.552370842913522	0.265473982251837	180	131	0.0394400881976714	0.629574574274088
Microbiome_gene_K00690	reads_clean	reads_clean	0.422149130549967	0.302891949308673	180	146	0.165546810117387	0.629574574274088
Microbiome_gene_K00694	reads_clean	reads_clean	0.392295449398592	0.281761030127809	180	135	0.166155577263091	0.629574574274088
Microbiome_gene_K00703	reads_clean	reads_clean	0.338377579327191	0.276732091234904	180	171	0.223121917177083	0.629574574274088
Microbiome_gene_K00705	reads_clean	reads_clean	0.421169425061043	0.272256486709712	180	168	0.123777637162696	0.629574574274088
Microbiome_gene_K00721	reads_clean	reads_clean	0.398741808005952	0.281545815887226	180	165	0.158607825335591	0.629574574274088
Microbiome_gene_K00748	reads_clean	reads_clean	0.36927466671001	0.273165728837548	180	165	0.178301356824203	0.629574574274088
Microbiome_gene_K00756	reads_clean	reads_clean	0.351906691054096	0.28618975431122	180	149	0.220801182890722	0.629574574274088
Microbiome_gene_K00757	reads_clean	reads_clean	0.338255711477671	0.27088327281844	180	167	0.213538525606165	0.629574574274088
Microbiome_gene_K00758	reads_clean	reads_clean	0.343671494622696	0.233054280978522	180	129	0.142783646097821	0.629574574274088
Microbiome_gene_K00759	reads_clean	reads_clean	0.455467136116407	0.284078006104609	180	166	0.110788834561763	0.629574574274088
Microbiome_gene_K00760	reads_clean	reads_clean	0.385728504667209	0.268175358781563	180	171	0.152185657869013	0.629574574274088
