feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bioc_5alpha.androstan.3alpha.17beta.diol.monosulfate..2.	gender	gender	2.136750408	0.34160529	180	103	3.03E-08	0.000710955
Bioc_urate	gender	gender	2.931034867	0.505970662	180	95	2.49E-07	0.002914906
Bioc_5alpha.androstan.3alpha.17beta.diol.disulfate	gender	gender	2.138078031	0.385239768	180	99	5.46E-07	0.004268339
Bioc_5alpha.androstan.3beta.17beta.diol.disulfate	gender	gender	2.667518051	0.491947951	180	100	9.26E-07	0.00542993
Bioc_2S.3R.dihydroxybutyrate	gender	gender	2.441571537	0.458804406	180	89	2.21E-06	0.010388648
Bioc_cysteinylglycine.disulfide.	IBS	IBS	-1.960771678	0.400548073	180	100	7.15E-06	0.027964894
Bioc_5alpha.androstan.3alpha.17alpha.diol.monosulfate	gender	gender	2.06518987	0.436210283	180	98	1.21E-05	0.035337383
Bioc_isoleucine	gender	gender	2.750722772	0.575016855	180	97	1.19E-05	0.035337383
Bioc_X_11444	gender	gender	2.754518102	0.585355817	180	88	1.80E-05	0.046904014
Bioc_S.adenosylhomocysteine..SAH.	IBS	IBS	-2.557302316	0.547402808	180	94	2.08E-05	0.048888654
Bioc_X_11261	IBS	IBS	-1.89728465	0.418258543	180	102	2.68E-05	0.052464941
Bioc_X_24970	race	race	0.37370859	0.081898331	180	100	2.55E-05	0.052464941
Bioc_gamma.glutamylleucine	gender	gender	2.336340912	0.533875284	180	92	5.32E-05	0.089184638
Bioc_N6.succinyladenosine	IBS	IBS	-2.427405468	0.541473826	180	83	5.20E-05	0.089184638
Bioc_kynurenine	IBS	IBS	-1.891848466	0.435090145	180	90	5.86E-05	0.091410228
Bioc_quinolinate	IBS	IBS	-1.648453775	0.389550255	180	96	7.79E-05	0.091410228
Bioc_tyrosine	IBS	IBS	-2.055375015	0.480253078	180	94	7.24E-05	0.091410228
Bioc_X_15461	age	age	-1.663401682	0.390531972	180	105	6.75E-05	0.091410228
Bioc_X_15503	age	age	-2.009462744	0.472999249	180	105	7.12E-05	0.091410228
Bioc_X_21796	gender	gender	2.003966853	0.472160295	180	107	7.46E-05	0.091410228
Bioc_2.keto.3.deoxy.gluconate	gender	gender	2.826374929	0.662199389	180	88	8.78E-05	0.093778158
Bioc_gamma.glutamylisoleucine.	gender	gender	2.21926159	0.531059461	180	106	8.80E-05	0.093778158
Bioc_pregnenediol.sulfate..C21H34O5S..	age	age	1.652826587	0.400345177	180	97	0.0001062	0.108310581
Bioc_arabitol.xylitol	age	age	-2.076803599	0.506885239	180	89	0.000149894	0.136281983
Bioc_pregnenetriol.sulfate.	gender	gender	1.899931404	0.469740152	180	94	0.00014748	0.136281983
Bioc_X_13553	age	age	-1.892981176	0.465585092	180	92	0.000151056	0.136281983
Bioc_quinolinate	age	age	-1.663421162	0.416060915	180	96	0.000172515	0.14452428
Bioc_X_24309	IBS	IBS	-1.840278057	0.459548046	180	97	0.000171178	0.14452428
Bioc_5.methylthioadenosine..MTA.	IBS	IBS	-1.820010122	0.454340174	180	98	0.000184066	0.147369721
Bioc_N6.N6.N6.trimethyllysine	gender	gender	2.0211586	0.508377183	180	99	0.000188476	0.147369721
Microbiome_gene_K00605	race	race	1.931367556	0.470954647	180	79	0.000216377	0.160597899
Bioc_5.6.dihydrouridine	IBS	IBS	-1.936017443	0.495355443	180	97	0.000253061	0.160597899
Bioc_5alpha.androstan.3beta.17beta.diol.monosulfate..2.	gender	gender	1.690518272	0.432419412	180	97	0.000238014	0.160597899
Bioc_allantoin	gender	gender	2.309941089	0.593641186	180	101	0.000232154	0.160597899
Bioc_eugenol.sulfate	IBS	IBS	-1.245223961	0.319241869	180	103	0.000241832	0.160597899
Bioc_guanidinosuccinate	age	age	-1.592658094	0.407458186	180	107	0.000221298	0.160597899
Bioc_N.acetylcarnosine	gender	gender	2.145457697	0.550873683	180	94	0.00025332	0.160597899
Bioc_2.O.methylascorbic.acid	IBS	IBS	-1.497318244	0.384950352	180	98	0.000277373	0.162658378
Bioc_cys.gly..oxidized	IBS	IBS	-1.879523582	0.484857751	180	89	0.000272613	0.162658378
Bioc_hydroxyasparagine	age	age	-1.920583805	0.495347952	180	97	0.000275808	0.162658378
Bioc_alpha.ketobutyrate	gender	gender	2.049491927	0.533759121	180	93	0.00029915	0.171150462
Microbiome_gene_K00605	age	age	-1.965564512	0.494159609	180	79	0.000311439	0.173938595
Bioc_N.formylmethionine	IBS	IBS	-2.062969738	0.537238823	180	91	0.000325243	0.177423603
Bioc_1.methyl.4.imidazoleacetate	age	age	-1.766652189	0.465843972	180	102	0.000340748	0.181657183
Specie_Eubacterium_rectale	IBS	IBS	-1.31496668	0.349215662	180	99	0.00036381	0.185519621
Bioc_phosphocholine	IBS	IBS	-1.939336728	0.510405169	180	91	0.000359345	0.185519621
Bioc_X_23680	IBS	IBS	-1.912231132	0.509772362	180	102	0.000389687	0.19448702
Bioc_gamma.glutamyltyrosine	IBS	IBS	-1.727482942	0.465457017	180	100	0.000429621	0.209950555
Bioc_X_17685	race	race	1.256770766	0.337700571	180	97	0.000454918	0.217775595
Specie_Coprococcus_comes	IBS	IBS	-1.421409048	0.386403799	180	100	0.000509181	0.237858134
Bioc_2.piperidinone	IBS	IBS	-1.254944949	0.345173323	180	116	0.000517149	0.237858134
Microbiome_gene_K01579	IBS	IBS	-1.617206905	0.439186269	180	95	0.000535533	0.24052443
Bioc_X_16580	age	age	-1.801764552	0.488745499	180	88	0.000543454	0.24052443
Microbiome_gene_K00132	race	race	1.257616091	0.34793057	180	111	0.000572189	0.240763121
Microbiome_gene_K19997	IBS	IBS	-1.49831321	0.409907529	180	96	0.00057525	0.240763121
Bioc_2.hydroxy.3.methylvalerate	gender	gender	1.665921398	0.457814273	180	101	0.000584122	0.240763121
Bioc_dihomo.linolenoylcarnitine..C20.3n3.or.6..	gender	gender	2.081241475	0.574913785	180	96	0.000606325	0.240763121
Bioc_mannonate.	age	age	-1.746128	0.482526004	180	98	0.000608962	0.240763121
Bioc_N.N.N.trimethyl.alanylproline.betaine..TMAP.	gender	gender	1.933582724	0.525772348	180	83	0.000594038	0.240763121
Bioc_N1.methylinosine	IBS	IBS	-1.559337747	0.429163411	180	94	0.000615841	0.240763121
Bioc_2.aminobutyrate	gender	gender	1.817264462	0.505696011	180	101	0.000639998	0.246105536
Bioc_X_12127	diet_sugar	diet_sugar	-1.7912181	0.38753119	180	103	1.18E-05	0.13905601
Bioc_X_12798	diet_meat	diet_meat	-1.6919199	0.35687352	180	95	8.14E-06	0.13905601
Microbiome_gene_K23535	antivirals	antivirals	-1.0591845	0.22270338	180	108	6.44E-06	0.07393373
Bioc_X_12851	antivirals	antivirals	-1.0753587	0.22895266	180	111	7.96E-06	0.07393373
